,97.75,5025.64,16628.71
5252438,97.75,1890.55,6113.99
5252444,97.75,3643.73,5025.64
5252448,97.75,97.75,6334.38
5252454,2093.72,5025.64,97.75
5252458,490.68,589.39,2605.21
5252464,4276.99,886.70,97.75
5252468,589.39,392.16,1992.03
5252472,97.75,490.68,1688.18
5252478,787.40,688.30,3329.97
5252483,2297.70,5458.30,5133.47
5252489,97.75,787.40,2297.70
5252493,97.75,5025.64,2811.24
5252499,589.39,1085.89,3853.95
5252503,97.75,97.75,986.19
5252507,589.39,97.75,2093.72
5252513,97.75,1789.26,6334.38
5252517,1386.14,787.40,4596.53
5252524,6889.35,5025.64,8359.79
5252528,3538.93,97.75,4918.03
5252534,787.40,97.75,2195.61
5252538,97.75,1486.62,3643.73
5252544,97.75,7001.04,97.75
5252548,97.75,97.75,1992.03
5252552,97.75,97.75,7001.04
5252558,2400.00,1185.77,3538.93
5252562,8704.89,5241.53,7903.05
5252569,2708.12,787.40,787.40
5252573,3643.73,97.75,97.75
5252579,1587.31,392.16,1890.55
5252583,3018.10,97.75,97.75
5252589,97.75,195.69,3853.95
5252593,97.75,97.75,4703.47
5252597,886.70,787.40,4065.04
5252603,2708.12,97.75,8359.79
5252608,195.69,97.75,4276.99
5252614,8820.40,97.75,2297.70
5252618,886.70,293.83,3538.93
5252624,97.75,97.75,97.75
5252628,97.75,97.75,2914.57
5252632,3748.74,97.75,5133.47
5252638,97.75,1789.26,3959.39
5252642,97.75,97.75,3121.85
5252646,97.75,688.30,2811.24
5252653,97.75,1890.55,4918.03
5252657,886.70,787.40,3538.93
5252663,4383.28,97.75,3121.85
5252667,490.68,97.75,2708.12
5252673,97.75,1789.26,97.75
5252677,589.39,1185.77,2502.50
5252683,7112.97,9168.45,886.70
5252687,97.75,589.39,2400.00
5252691,787.40,97.75,2914.57
5252698,2297.70,688.30,3853.95
5252702,1587.31,97.75,2502.50
5252708,392.16,1085.89,986.19
5252712,97.75,97.75,2502.50
5252718,293.83,97.75,3959.39
5252722,97.75,293.83,4489.79
5252726,97.75,97.75,5133.47
5252732,97.75,787.40,9284.95
5252737,986.19,688.30,4596.53
5252743,1085.89,5894.52,2811.24
5252747,3018.10,97.75,2502.50
5252753,97.75,195.69,97.75
5252757,1285.85,392.16,3225.80
5252761,97.75,7225.13,2502.50
5252767,97.75,97.75,589.39
5252771,6777.89,97.75,4065.04
5252777,1085.89,986.19,4489.79
5252782,97.75,97.75,3853.95
5252788,490.68,490.68,3329.97
5252792,97.75,97.75,97.75
5252796,2297.70,986.19,2400.00
5252802,1085.89,6004.14,97.75
5252806,293.83,97.75,589.39
5252812,97.75,97.75,6444.91
5252816,97.75,589.39,4489.79
5252820,787.40,97.75,5458.30
5252827,589.39,97.75,3538.93
5252831,97.75,5133.47,2297.70
5252837,97.75,97.75,2605.21
5252841,787.40,4596.53,97.75
5252847,195.69,97.75,2400.00
5252851,2093.72,97.75,97.75
5252855,195.69,589.39,97.75
5252861,1386.14,3329.97,4810.64
5252866,2811.24,97.75,1992.03
5252872,97.75,97.75,4383.28
5252876,1992.03,97.75,3538.93
5252880,97.75,6555.68,1688.18
