5,195.69,2914.57
8071923,195.69,293.83,3121.85
8071929,392.16,195.69,3121.85
8071933,195.69,195.69,2914.57
8071940,195.69,97.75,3018.10
8071944,293.83,293.83,3121.85
8071950,392.16,293.83,3018.10
8071954,195.69,195.69,2914.57
8071960,195.69,195.69,3018.10
8071964,293.83,293.83,3121.85
8071970,392.16,195.69,3121.85
8071974,195.69,97.75,2914.57
8071979,97.75,97.75,2914.57
8071985,293.83,195.69,3121.85
8071989,293.83,195.69,3121.85
8071995,97.75,97.75,3018.10
8071999,195.69,195.69,2914.57
8072005,293.83,195.69,3121.85
8072009,293.83,195.69,3018.10
8072015,195.69,97.75,2914.57
8072019,195.69,97.75,3018.10
8072024,293.83,293.83,3121.85
8072030,293.83,195.69,3018.10
8072034,195.69,195.69,3018.10
8072040,195.69,97.75,3018.10
8072044,392.16,195.69,3121.85
8072050,293.83,195.69,3121.85
8072054,195.69,97.75,2914.57
8072060,195.69,195.69,3018.10
8072065,293.83,293.83,3121.85
8072069,293.83,293.83,3121.85
8072075,195.69,97.75,3018.10
8072079,293.83,195.69,2914.57
8072085,293.83,195.69,3121.85
8072089,293.83,195.69,3121.85
8072095,195.69,97.75,2914.57
8072099,293.83,97.75,2914.57
8072105,293.83,293.83,3018.10
8072110,392.16,195.69,3018.10
8072114,293.83,195.69,2914.57
8072120,293.83,97.75,2914.57
8072124,293.83,293.83,3018.10
8072130,490.68,195.69,3121.85
8072134,195.69,97.75,2914.57
8072140,293.83,195.69,2914.57
8072144,392.16,195.69,3018.10
8072151,392.16,195.69,3121.85
8072155,293.83,97.75,2914.57
8072159,97.75,97.75,3018.10
8072165,293.83,195.69,3018.10
8072169,392.16,195.69,3018.10
8072175,195.69,97.75,2914.57
8072179,195.69,195.69,2914.57
8072185,392.16,195.69,3018.10
8072189,293.83,195.69,3018.10
8072194,293.83,195.69,2914.57
8072200,195.69,97.75,2914.57
8072204,195.69,293.83,3018.10
8072210,490.68,195.69,3121.85
8072214,293.83,97.75,2914.57
8072220,195.69,195.69,2914.57
8072224,293.83,195.69,3121.85
8072230,392.16,195.69,3121.85
8072235,392.16,97.75,2914.57
8072239,195.69,195.69,3018.10
8072245,392.16,293.83,3121.85
8072249,392.16,97.75,3018.10
8072255,392.16,195.69,2914.57
8072259,293.83,195.69,2914.57
8072265,293.83,195.69,3121.85
8072269,392.16,97.75,3018.10
8072273,293.83,97.75,2914.57
8072280,97.75,195.69,2914.57
8072284,392.16,293.83,3018.10
8072290,392.16,293.83,2914.57
8072294,195.69,195.69,3018.10
8072300,97.75,195.69,2914.57
8072304,293.83,293.83,3018.10
8072310,293.83,293.83,3018.10
8072314,293.83,97.75,2914.57
8072318,195.69,195.69,3018.10
8072325,392.16,293.83,3121.85
8072329,392.16,195.69,3121.85
8072335,293.83,97.75,2914.57
8072339,195.69,195.69,3018.10
8072345,392.16,195.69,3121.85
8072349,392.16,195.69,3121.85
8072355,392.16,97.75,3018.10
8072359,293.83,97.75,2914.57
8072364,293.83,293.83,3018.10
8072370,392.16,293.83,3018.10
8072374,293.83,195.69,2914.57
8072380,293.83,97.75,2914.57
8072384,392.16,195.69,3018.10
8072390,293.83,293.83,3121.85
8072394,392.16,97.75,2914.57
8072398,195.69,97.75,2914.57
8072404,293.83,293.83,3121.85
8072409,293.83,293.83,3121.85
8072415,293.83,97.75,3018.10
8072419,293.83,195.69,2914.57
8072425,392.16,293.83,3018.10
8072429,195.69,195.69,3121.85
8072435,293.83,97.75,2914.57
8072439,293.83,97.75,2914.57
8072443,293.83,195.69,3018.10
8072450,293.83,195.69,3018.10
8072454,293.83,97.75,2914.57
8072460,195.69,97.75,2914.57
8072464,293.83,195.69,3121.85
8072470,490.68,293.83,3121.85
8072474,293.83,97.75,3018.10
8072478,195.69,195.69,2914.57
8072484,293.83,195.69,3018.10
8072488,392.16,195.69,3121.85
8072495,293.83,97.75,2914.57
8072499,195.69,97.75,2914.57
8072505,392.16,195.69,3018.10
8072509,293.83,293.83,3121.85
8072515,293.83,195.69,3018.10
8072519,97.75,195.69,2914.57
8072523,293.83,195.69,3121.85
8072529,392.16,293.83,3121.85
8072534,195.69,97.75,2811.24
8072540,195.69,97.75,2914.57
8072544,293.83,195.69,3018.10
8072550,392.16,293.83,3121.85
8072554,293.83,97.75,2914.57
8072560,195.69,195.69,2914.57
8072564,392.16,195.69,3018.10
8072568,392.16,195.69,3225.80
8072574,195.69,97.75,2914.57
8072579,195.69,195.69,2811.24
8072585,293.83,195.69,3121.85
8072589,490.68,293.83,3121.85
8072595,293.83,195.69,3018.10
8072599,97.75,195.69,2914.57
8072605,293.83,195.69,3121.85
8072609,392.16,293.83,3121.85
8072613,195.69,195.69,2914.57
8072620,293.83,195.69,3018.10
8072624,392.16,97.75,3121.85
8072630,490.68,293.83,3225.80
8072634,293.83,293.83,3018.10
8072640,195.69,195.69,2914.57
8072644,293.83,293.83,3121.85
8072650,392.16,195.69,3121.85
8072654,293.83,97.75,2914.57
8072658,97.75,195.69,2914.57
8072665,293.83,195.69,3121.85
8072669,392.16,195.69,3121.85
8072675,195.69,97.75,3018.10
8072679,97.75,195.69,2914.57
8072685,392.16,195.69,3018.10
8072689,293.83,293.83,3121.85
8072695,195.69,195.69,2914.57
8072699,97.75,97.75,3018.10
8072704,293.83,293.83,3121.85
8072710,392.16,293.83,3121.85
8072714,195.69,195.69,3018.10
8072720,195.69,97.75,2914.57
8072724,293.83,195.69,3121.85
8072730,490.68,293.83,3121.85
8072734,293.83,97.75,2914.57
8072738,293.83,195.69,2914.57
8072744,293.83,293.83,3018.10
8072749,293.83,293.83,3121.85
8072755,195.69,97.75,2914.57
8072759,293.83,97.75,2914.57
8072765,293.83,97.75,3018.10
8072769,392.16,195.69,3121.85
8072775,195.69,97.75,2914.57
8072779,97.75,97.75,2914.57
8072783,293.83,293.83,3121.85
8072790,490.68,195.69,3121.85
8072794,392.16,97.75,2914.57
8072800,195.69,97.75,2914.57
8072804,392.16,293.83,3018.10
8072810,293.83,293.83,3121.85
8072814,293.83,97.75,3018.10
8072818,195.69,195.69,2914.57
8072824,293.83,293.83,3121.85
